,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
138,Norte,RO,,11,,,,2022-01-01,52,1777225.0,284660.0,34,6737,3,,,
139,Norte,RO,,11,,,,2022-01-02,1,1777225.0,284692.0,32,6739,2,,,
140,Norte,RO,,11,,,,2022-01-03,1,1777225.0,284783.0,91,6742,3,,,
141,Norte,RO,,11,,,,2022-01-04,1,1777225.0,285037.0,254,6745,3,,,
142,Norte,RO,,11,,,,2022-01-05,1,1777225.0,285269.0,232,6748,3,,,
143,Norte,RO,,11,,,,2022-01-06,1,1777225.0,285660.0,391,6756,8,,,
144,Norte,RO,,11,,,,2022-01-07,1,1777225.0,286039.0,379,6761,5,,,
145,Norte,RO,,11,,,,2022-01-08,1,1777225.0,286280.0,241,6764,3,,,
146,Norte,RO,,11,,,,2022-01-09,2,1777225.0,286462.0,182,6763,-1,,,
147,Norte,RO,,11,,,,2022-01-10,2,1777225.0,286791.0,329,6769,6,,,
148,Norte,RO,,11,,,,2022-01-11,2,1777225.0,287377.0,586,6775,6,,,
149,Norte,RO,,11,,,,2022-01-12,2,1777225.0,288173.0,796,6778,3,,,
150,Norte,RO,,11,,,,2022-01-13,2,1777225.0,288595.0,422,6782,4,,,
151,Norte,RO,,11,,,,2022-01-14,2,1777225.0,289419.0,824,6787,5,,,
152,Norte,RO,,11,,,,2022-01-15,2,1777225.0,290050.0,631,6789,2,,,
153,Norte,RO,,11,,,,2022-01-16,3,1777225.0,290677.0,627,6790,1,,,
154,Norte,RO,,11,,,,2022-01-17,3,1777225.0,291441.0,764,6791,1,,,
155,Norte,RO,,11,,,,2022-01-18,3,1777225.0,293052.0,1611,6795,4,,,
156,Norte,RO,,11,,,,2022-01-19,3,1777225.0,294764.0,1712,6798,3,,,
157,Norte,RO,,11,,,,2022-01-20,3,1777225.0,296395.0,1631,6800,2,,,
158,Norte,RO,,11,,,,2022-01-21,3,1777225.0,298451.0,2056,6805,5,,,
